TIME_ID,MONTH_ID,YEAR_ID
01/04/2003,4,2003
07/05/2003,5,2003
08/05/2003,5,2003
20/05/2003,5,2003
01/07/2003,7,2003
04/07/2003,7,2003
10/07/2003,7,2003
08/11/2003,11,2003
11/11/2003,11,2003
25/11/2003,11,2003
02/01/2004,1,2004
15/01/2004,1,2004
02/02/2004,2,2004
21/02/2004,2,2004
02/03/2004,3,2004
13/04/2004,4,2004
26/05/2004,5,2004
04/06/2004,6,2004
23/07/2004,7,2004
28/08/2004,8,2004
27/09/2004,9,2004
11/10/2004,10,2004
29/10/2004,10,2004
20/11/2004,11,2004
24/11/2004,11,2004
25/11/2004,11,2004
09/12/2004,12,2004
15/12/2004,12,2004
06/01/2005,1,2005
03/02/2005,2,2005
17/03/2005,3,2005
28/03/2005,3,2005
30/03/2005,3,2005
07/04/2005,4,2005
14/04/2005,4,2005
31/05/2005,5,2005
